# Show feedback bank — format: slug | researched date | remark

abji7 | 2026-09-02 | نمایش «آبجی‌ها و آقاجان» با امتیاز ۴.۲ از ۵ از ۱01 رأی در تیوال، اثری با متنی عمیق و فلسفی از علی شمس است که به کالبدشکافی مفهوم پدرسالاری و ماندگاری سایه آن در زندگی فردی می‌پردازد. بازی‌های برجسته و توانمند بازیگران، در کنار طراحی صحنه و عروسک‌سازی خلاقانه و دقیق، از نقاط قوت اصلی این اجرا به شمار می‌رود. با این حال، نظرات درباره ریتم نمایش دوپهلو است؛ درحالی‌که برخی آن را عامدانه و در خدمت محتوای غنی می‌دانند، بسیاری از تماشاگران از کندی ریتم و زمان طولانی یک ساعت و نیمه اجرا گلایه کرده‌اند که گاه به کلافگی و عدم ارتباط کامل منجر می‌شود. کارگردانی نیز در انتقال کامل دشواری‌های متن، در نظر برخی منتقدان، نمره بالایی نمی‌گیرد. این نمایش برای مخاطبی که به دنبال اثری متفاوت با محتوای عمیق است، پیشنهاد می‌شود، اما باید آماده رویارویی با ریتمی غیرکلاسیک و کش‌دار بود.
asb11 | 2026-07-24 | نمایش «اسب نورد» با امتیاز ۳.۹ از ۵ در تیوال، اجرایی متفاوت و تأمل‌برانگیز محسوب می‌شود که متن چندلایه و نمادین مهدی کوشکی، کارگردانی دقیق هستی حسینی و بازی‌های درخشان مهدی و عاطفه کوشکی از نقاط قوت آن است. طراحی صحنه مینیمال، شاعرانه و سرشار از جزئیات مصطفی کوشکی نیز به شدت مورد تحسین قرار گرفته است. اما برخی تماشاگران از فضای سنگین و دیالوگ‌محور بودن کار، که نیازمند تمرکز بالایی است، و همچنین رفتار برخی از مخاطبان که تمرکز را بر هم زده‌اند، گلایه داشته‌اند. در کل، این نمایش به دلیل عمق محتوا و کیفیت بازی‌ها، اثری ماندگار در ذهن مخاطب ایجاد می‌کند.
ashrafghani | 2026-08-13 | نمایش «مرگ اشرف غنی» با امتیاز ۴.۴ از ۵ از ۱۷۰ رأی در تیوال، اثری تأثیرگذار با بازی‌های درخشان، به‌ویژه بازیگران زن، و موسیقی زنده و حضور خوانندگان افغان است که فضای دراماتیک را به‌خوبی منتقل می‌کند. ایده تلفیق سقوط کابل و نمایشنامه «مرگ یزدگرد» جذاب است و روایت انسانی و تکان‌دهنده‌ای از رنج مردم افغانستان ارائه می‌دهد. با این حال، برخی منتقدان معتقدند متن می‌توانست قوی‌تر باشد و در نیمه‌های نمایش از انرژی اولیه آن کاسته می‌شود؛ همچنین، ضعف‌هایی در وضوح انتقال برخی مفاهیم برای مخاطب ناآشنا با تاریخ افغانستان و تنظیم صدا مشاهده شده است. این اثر با کسب جایزه بهترین نمایشنامه اقتباسی در جشنواره تئاتر فجر، در مجموع تجربه‌ای عمیق و به‌یادماندنی برای تماشاگران رقم می‌زند.
atashsouzi2 | 2026-08-15 | نمایش «آتش‌سوزی‌ها» با امتیاز ۴.۱ از ۵ در تیوال، اثری عمیق و تکان‌دهنده از وجدی معود است که مخاطب را تا انتها درگیر داستانی تراژیک از پیامدهای جنگ نگه می‌دارد. کارگردانی مرتضی میرمنتظمی به دلیل مدیریت دقیق ریتم و فضاسازی، و همچنین طراحی صحنه کارکردی و موسیقی و افکت‌های صوتی تاثیرگذار، مورد تحسین قرار گرفته است. بازی‌ها عمدتاً قوی و باورپذیرند، به‌ویژه از بازیگران شناخته‌شده‌ای چون ریما رامین‌فر و ستاره پسیانی، اما برخی نقدها به ناهمگونی در سطح بازیگری میان نقش‌های اصلی و فرعی اشاره دارند. همچنین، جزئیات‌پردازی زیاد نمایشنامه در نیمه اول گاه به کندی ریتم منجر می‌شود که می‌توانست با دراماتورژی دقیق‌تر بهبود یابد. این نمایش به‌طور کلی تجربه‌ای فراموش‌نشدنی ارائه می‌دهد که پس از اتمام نیز ذهن تماشاگر را به خود مشغول می‌سازد.
avalshakhs10 | 2026-08-18 | نمایش «اول شخص مفرد» با امتیاز ۴.۲ از ۵ در تیوال، اجرایی قدرتمند و متکی بر بازیگری مسلط امید نیاز را به نمایش می‌گذارد که توانایی او در خلق فضاهای متنوع و درگیرکننده تحسین‌برانگیز است. کارگردانی هوشمندانه نیز مکمل این بازی درخشان است و عمق روانشناختی اثر را افزایش می‌دهد. متن نمایش به دلیل پرداختن به مضامین عمیق تنهایی، تاثیر زخم‌های کودکی و مسائل اگزیستانسیالیستی مورد ستایش قرار گرفته و مخاطب را به تامل وامی‌دارد. با این حال، برخی نقدها به ضعف‌هایی در فیلمنامه اشاره کرده‌اند که گاهی متکی بر دیالوگ‌های تکراری و اینستاگرامی است و از لحن مستقل خود فاصله می‌گیرد. در مجموع، بازخوردها نشان‌دهنده اثری عمیق و به‌یادماندنی است که با وجود ایرادات جزئی در متن، تجربه تاثیرگذاری را رقم می‌زند.
bakh3 | 2026-08-08 | نمایش «باخ» با امتیاز ۴.۴ از ۵ در تیوال، تجربه‌ای موزیکال و تأمل‌برانگیز است که توانسته بازی، موسیقی و طنز را به شکلی کم‌نظیر در هم آمیزد. از نقاط قوت آن می‌توان به بازی‌های درخشان و باورپذیر به ویژه اجرای فوق‌العاده و صدای دلنشین خانم نادری، تلفیق جذاب موسیقی زنده با اجرا، طراحی نور و صحنه عالی و کارگردانی مقبول بهزاد عبدی اشاره کرد. با این حال، برخی تماشاگران داستان را کلیشه‌ای دانسته و معتقدند نمایشنامه نتوانسته به طور کامل با مخاطب ارتباط برقرار کند. همچنین، برخی بازی‌ها مانند آقای داوری و خود آقای عبدی چنگی به دل نمی‌زده و گریم شخصیت باخ خشک و بی‌روح توصیف شده است. در مجموع، نمایش باخ به دلیل استفاده موثر از موسیقی و توانایی در برانگیختن احساسات تماشاگران، اثری ارزشمند تلقی می‌شود.
belfast5 | 2026-09-15 | نمایش «موش‌های بلفاست» با امتیاز ۴.۱ از ۵ در تیوال، اثری کمدی سیاه و هوشمندانه به شمار می‌رود که با متنی جذاب و کارگردانی دقیق فریور خراباتی، به نقد بحران‌های سیاسی می‌پردازد. بازی‌های درخشان گروه بازیگران، به‌ویژه محسن نوری و عارفه معماریان، از نقاط قوت اصلی کار است که توانسته روح پیچیده نمایش را به خوبی به صحنه بیاورد. طراحی صحنه نیز با خلق تضاد میان دنیای کودکانه و خشونت، به انتقال مفاهیم اثر کمک شایانی کرده است. با این حال، برخی تماشاگران از تکرار بیش از حد برخی شوخی‌ها و فحش‌ها ابراز خستگی کرده‌اند و تأخیر در شروع و مشکلات مربوط به سالن (مانند گرما و راحتی صندلی‌ها) نیز در مواردی گزارش شده است. در مجموع، این نمایش تجربه‌ای تأثیرگذار است، اما برای برخی، ایرادات اجرایی می‌تواند از کیفیت کلی بکاهد.
biyabarayeham | 2026-09-22 | نمایش «بیا برای هم یک اسم انتخاب کنیم» با امتیاز ۴.۴ از ۵ در تیوال، روایتی دوگانه و انسانی از عشق و فرسودگی عاطفی ارائه می‌دهد که بر موقعیت‌های روزمره و دیالوگ‌های پرمعنا با سکوت‌های کلیدی بنا شده است. بازی‌های سید جواد یحیوی و صدف طلایی به دلیل باورپذیری و عمق شخصیت‌پردازی ستایش شده‌اند. اگرچه ماهیت تعاملی نمایش مخاطب را به تفکر درباره روابطش وامی‌دارد و دیوار چهارم را به خوبی می‌شکند، اما برخی منتقدان معتقدند که این شیوه گاه به قیمت از دست رفتن عمق دراماتیک و افزایش طولانی‌شدن صحنه‌ها تمام می‌شود و دیالوگ‌های بعضاً فلسفی می‌تواند از کشش اثر بکاهد.
comedysiah5 | 2026-09-17 | نمایش «کمدی سیاه» با امتیاز ۴.۲ از ۵ در تیوال، اجرایی خوش‌ریتم و خلاقانه است که از متن هوشمندانه پیتر شفر بهره می‌برد. نورپردازی برجسته آن، صرفاً عنصری بصری نیست و به بخشی از زبان اجرایی تبدیل شده است. بازی روان و هماهنگ بازیگران، در کنار طراحی صحنه ساده و کاربردی، از نقاط قوت مهم اثر به شمار می‌رود. با این حال، برخی از تماشاگران به افت ریتم در ۲۰ تا ۳۰ دقیقه پایانی اشاره کرده‌اند و تغییر لحن از کمدی به روایتی جدی‌تر درباره خیانت را، که با مسیر اولیه همخوانی ندارد، ضعف اصلی نمایش می‌دانند. در مجموع، خلاقیت اجرایی و طنز موقعیت آن مورد تحسین قرار گرفته است.
doshman13 | 2026-08-23 | نمایش «دشمن خدا» با امتیاز ۴.۱ از ۵ از ۱۷۴ رای در تیوال، اثری کمدی-انتقادی است که به خوبی مسئله مذمت دروغ را به تصویر می‌کشد. قدرت اصلی نمایش در بازی‌های درخشان، به ویژه بازیگران کودک و تسلط آنان بر نقش‌ها، و همچنین ریتم دقیق و جذاب روایت نهفته است. منتقدان و تماشاگران از طنز به‌جا و قابلیت درگیرکنندگی اثر که مخاطب را به قضاوت دعوت می‌کند، تمجید کرده‌اند. با این حال، برخی نقدها به تکراری بودن ایده اصلی نمایش (مشابه نمایش «شنیدن» کوهستانی) و عدم پرداخت عمیق‌تر به ریشه‌ها و ابعاد فلسفی دروغ اشاره دارند. طراحی صحنه و نورپردازی نیز از سوی برخی تماشاگران قابلیت بهبود بیشتری داشته است.
